word,q,freq
nuanced,2018.25,0.0
nuanced,2018.5,0.00025144581342720644
nuanced,2018.75,0.00023917723032767282
nuanced,2019.0,0.00024108003857280618
nuanced,2019.25,0.00025131942699170643
nuanced,2019.5,0.00022820629849383843
nuanced,2019.75,0.0
nuanced,2020.0,0.00026476039184537993
nuanced,2020.25,0.0
nuanced,2020.5,0.0
nuanced,2020.75,0.0
nuanced,2021.0,0.00048828125
nuanced,2021.25,0.0
nuanced,2021.5,0.00022794620469569182
nuanced,2021.75,0.00043878894251864854
nuanced,2022.0,0.0002458210422812193
nuanced,2022.25,0.0
nuanced,2022.5,0.00022461814914645105
nuanced,2022.75,0.0006702412868632708
nuanced,2023.0,0.0
nuanced,2023.25,0.0006981615080288574
nuanced,2023.5,0.0004253509145044662
nuanced,2023.75,0.00021105951878429716
nuanced,2024.0,0.00045372050816696913
nuanced,2024.25,0.0006116207951070336
nuanced,2024.5,0.0006239600665557404
nuanced,2024.75,0.0009794319294809011
nuanced,2025.0,0.0016220600162206002
nuanced,2025.25,0.0005889281507656066
nuanced,2025.5,0.0008573388203017832
nuanced,2025.75,0.0008318083513558476
showcasing,2015.0,0.00027624309392265195
showcasing,2015.25,0.0
showcasing,2015.5,0.0
showcasing,2015.75,0.0
showcasing,2016.0,0.0002698327037236913
showcasing,2016.25,0.0
showcasing,2016.5,0.0
showcasing,2016.75,0.0
showcasing,2017.0,0.0002767783005812344
showcasing,2017.25,0.00027693159789531985
showcasing,2017.5,0.0002677376171352075
showcasing,2017.75,0.0
showcasing,2018.0,0.00026350461133069827
showcasing,2018.25,0.0
showcasing,2018.5,0.0
showcasing,2018.75,0.0
showcasing,2019.0,0.0
showcasing,2019.25,0.00025131942699170643
showcasing,2019.5,0.00045641259698767686
showcasing,2019.75,0.0
showcasing,2020.0,0.0
showcasing,2020.25,0.0
showcasing,2020.5,0.0004432624113475177
showcasing,2020.75,0.0002151462994836489
showcasing,2021.0,0.0
showcasing,2021.25,0.0002452783909737552
showcasing,2021.5,0.0
showcasing,2021.75,0.0
showcasing,2022.0,0.0004916420845624386
