marker,q,quarter,year,obs_rate,bg_rate,pi,assisted_rate,excess_ratio
underscores,42,2025Q3,2025,9.819568497474069e-06,6.185101834684296e-07,0.736230847313499,1.3116028248054062e-05,15.876163012238075
underscores,43,2025Q4,2025,1.1505843404058272e-05,6.166729467776112e-07,0.8525674304452211,1.3388883177227306e-05,18.657934427286605
underscores,44,2026Q1,2026,1.034839842087875e-05,6.148411674563705e-07,0.9059333633046016,1.1359072087396195e-05,16.83101094822685
underscoring,0,2015Q1,2015,1.328842318773149e-07,2.288368343986487e-07,0.0,,0.5806942410583338
underscoring,1,2015Q2,2015,2.6126824920619086e-07,2.2377467129075094e-07,0.0,,1.167550588720224
underscoring,2,2015Q3,2015,1.7449777033292735e-07,2.1882448969753505e-07,0.0,,0.7974325477652101
underscoring,3,2015Q4,2015,1.6937155868749914e-07,2.139838124448438e-07,0.0,,0.7915157541702185
underscoring,4,2016Q1,2016,0.0,2.0925021715677687e-07,0.0,,0.0
underscoring,5,2016Q2,2016,1.7090493822982817e-07,2.0462133504348364e-07,0.0,,0.835225408892526
underscoring,6,2016Q3,2016,1.6585034436128938e-07,2.0009484971577005e-07,0.0,,0.8288586367758882
underscoring,7,2016Q4,2016,2.776348729390122e-07,1.9566849602593115e-07,0.0,,1.4189043130490377
underscoring,8,2017Q1,2017,3.0675667959383135e-07,1.9134005893422249e-07,0.0,,1.6032015527876782
underscoring,9,2017Q2,2017,2.5456399297539147e-07,1.8710737240040842e-07,0.0,,1.3605235844508916
underscoring,10,2017Q3,2017,0.0,1.8296831829983033e-07,0.0,,0.0
