word,base_df,base_slope,disc_df,val_df,disc_ratio,val_ratio,in_dict,is_seed,is_control,disc_rank,n_docs,topic_entropy,top_share
sneia,0.002468586373959,-0.0347198706209751,0.0038151061679503,0.003503830389789,1.9367319367340057,1.9066161066337397,False,False,False,142,180,0.5460313283447054,0.6751321708064724
brunner,0.0036609319734468,-0.0276870438896795,0.005916639650503,0.0031818893119816,1.9348246338263664,1.0997658177064424,False,False,False,143,297,0.8466083090639774,0.3938101141619975
perceive,0.0036328182241216,-0.0176374641929758,0.0062563107555432,0.0036444241025378,1.9313620417478652,1.1654509395729302,True,False,False,144,230,0.9380244081637714,0.2614553914826705
tobias,0.0033284644841208,-0.0573028396190769,0.004424954266466,0.0048667717753183,1.9294159082544533,2.379746316930152,True,False,False,145,269,0.9663212988404557,0.22140370532196973
enumerated,0.004020384321658,-0.0588431849009057,0.0052908460040764,0.004142206330938,1.9291536041065325,1.6989631398519338,False,False,False,146,216,0.9763333821408254,0.1847743498355753
arrested,0.0031259709308238,0.0294485863916618,0.0073000552468917,0.0120341830393187,1.928458871677216,2.9972442097183385,False,False,False,147,421,0.6303361913552317,0.5955312473717015
heraklion,0.0020826520033487,-0.0475361437609191,0.0029478552851926,0.0017474310155964,1.9278795790169816,1.2567912641427423,False,False,False,148,148,0.8802570760180105,0.2593725171554667
olive,0.004016481403451,-0.0334689439317093,0.0062263207077766,0.0100884899766392,1.9269288589410083,3.338344230058512,True,False,False,149,461,0.9572127972415762,0.2696905675610152
milder,0.0086229769775345,-0.0533269008549855,0.0117209320779158,0.0135503466596371,1.9223930368109663,2.472575712600364,True,False,False,150,625,0.9453393613013262,0.23934077962349426
mena,0.0033761657530761,0.0180937516846508,0.0072991491501268,0.007928444200706,1.9220796052804765,2.013590128648997,False,False,False,151,581,0.91629334517933,0.3163070129056006
kashyap,0.0020452295550496,-0.0476565169322433,0.0028791784158676,0.0030683986943347,1.918919574788788,2.2495409798633985,False,False,False,152,172,0.850136088682473,0.31384774155005973
